division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
light heavyweight,http://boxrec.com/boxer/7759,2000-09-09,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Heavyweight"" border=""0"" class=""dLink"">WBC World light heavyweight title</a><br><a href=""http://boxrec.com/title/WBA?division=Light%20Heavyweight"" border=""0"" class=""dLink"">WBA World light heavyweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Light%20Heavyweight"" border=""0"" class=""dLink"">IBF World light heavyweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Light%20Heavyweight"" border=""0"" class=""dLink"">International Boxing Organization World light heavyweight title</a><br></td>",http://boxrec.com/show/19512,http://boxrec.com/boxer/774820,RTD,"New Orleans Arena, New Orleans, Louisiana",Roy Jones Jr,Eric Harding,W
light flyweight,http://boxrec.com/boxer/16963,2000-08-26,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Light%20Flyweight"" border=""0"" class=""dLink"">International Boxing Organization World light flyweight title</a><br></td>",http://boxrec.com/show/115870,http://boxrec.com/boxer/8821,PTS,Galapa,Jose Garcia Bernal,Jose Sanjuanelo,W
lightweight,http://boxrec.com/boxer/4963,2000-08-19,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Lightweight"" border=""0"" class=""dLink"">International Boxing Organization World lightweight title</a><br></td>",http://boxrec.com/show/19451,http://boxrec.com/boxer/5088,KO,"Fountain Leisure Centre, Brentford, London",Michael Ayers,Mehdi Labdouni,W
super lightweight,http://boxrec.com/boxer/14928,2000-08-19,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Light%20Welterweight"" border=""0"" class=""dLink"">International Boxing Organization World super lightweight title</a><br></td>",http://boxrec.com/show/19451,http://boxrec.com/boxer/17083,TKO,"Fountain Leisure Centre, Brentford, London",Newton Villarreal,Chris Barnett,W
heavyweight,http://boxrec.com/boxer/3307,2000-07-15,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Heavyweight"" border=""0"" class=""dLink"">WBC World heavyweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Heavyweight"" border=""0"" class=""dLink"">IBF World heavyweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Heavyweight"" border=""0"" class=""dLink"">International Boxing Organization World heavyweight title</a><br></td>",http://boxrec.com/show/17203,http://boxrec.com/boxer/1853,TKO,"London Arena, Millwall, London",Lennox Lewis,Frans Botha,W
super welterweight,http://boxrec.com/boxer/7013,2000-07-15,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Light%20Middleweight"" border=""0"" class=""dLink"">International Boxing Organization World super welterweight title</a><br></td>",http://boxrec.com/show/17203,http://boxrec.com/boxer/14696,TKO,"London Arena, Millwall, London",Adrian Stone,Geoff McCreesh,W
bantamweight,http://boxrec.com/boxer/7581,2000-07-15,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Bantamweight"" border=""0"" class=""dLink"">International Boxing Organization World bantamweight title</a><br></td>",http://boxrec.com/show/17203,http://boxrec.com/boxer/9279,UD,"London Arena, Millwall, London",Noel Wilders,Paul Lloyd,W
lightweight,http://boxrec.com/boxer/14187,2000-07-01,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Lightweight"" border=""0"" class=""dLink"">International Boxing Organization World lightweight title</a><br></td>",http://boxrec.com/show/17085,http://boxrec.com/boxer/5088,TKO,"Bowlers Exhibition Centre, Manchester, Lancashire",Michael Ayers,Wayne Rigby,W
super featherweight,http://boxrec.com/boxer/20502,2000-07-01,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Super%20Featherweight"" border=""0"" class=""dLink"">International Boxing Organization World super featherweight title</a><br></td>",http://boxrec.com/show/17085,http://boxrec.com/boxer/6036,UD,"Bowlers Exhibition Centre, Manchester, Lancashire",Affif Djelti,Ian McLeod,W
super lightweight,http://boxrec.com/boxer/17083,2000-06-03,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Light%20Welterweight"" border=""0"" class=""dLink"">International Boxing Organization World super lightweight title</a><br></td>",http://boxrec.com/show/216158,http://boxrec.com/boxer/6527,TKO,Pasto,Victor Hugo Paz,Newton Villarreal,L 
