division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
lightweight,http://boxrec.com/boxer/3806,1991-02-23,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Lightweight"" border=""0"" class=""dLink"">WBC World lightweight title</a><br><a href=""http://boxrec.com/title/WBA?division=Lightweight"" border=""0"" class=""dLink"">WBA World lightweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Lightweight"" border=""0"" class=""dLink"">IBF World lightweight title</a><br></td>",http://boxrec.com/show/3656,http://boxrec.com/boxer/555,UD,"Caesars Palace, Las Vegas, Nevada",Pernell Whitaker,Anthony Jones,W
light flyweight,http://boxrec.com/boxer/3794,1991-02-17,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Light%20Flyweight"" border=""0"" class=""dLink"">IBF World light flyweight title</a><br></td>",http://boxrec.com/show/3645,http://boxrec.com/boxer/1623,KO,"Caesars Palace, Las Vegas, Nevada",Michael Carbajal,Macario Santos,W
super flyweight,http://boxrec.com/boxer/5736,1991-01-26,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Super%20Flyweight"" border=""0"" class=""dLink"">IBF World super flyweight title</a><br></td>",http://boxrec.com/show/140932,http://boxrec.com/boxer/11122,SD,"Palazzo Dello Sport, Capo d'Orlando, Sicilia",Robert Quiroga,Vincenzo Belcastro,W
light heavyweight,http://boxrec.com/boxer/2829,1991-01-12,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Light%20Heavyweight"" border=""0"" class=""dLink"">IBF World light heavyweight title</a><br></td>",http://boxrec.com/show/153774,http://boxrec.com/boxer/340,UD,"Palasport, Saint-Vincent, Valle d'Aosta",Charles Williams,Mwehu Beya,W
minimumweight,http://boxrec.com/boxer/8699,1990-12-20,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Minimumweight"" border=""0"" class=""dLink"">IBF World minimumweight title</a><br></td>",http://boxrec.com/show/9757,http://boxrec.com/boxer/1290,SD,"Rajadamnern Stadium, Bangkok",Fahlan Sakkreerin,Pretty Boy Lucas,D
super middleweight,http://boxrec.com/boxer/3196,1990-12-15,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Super%20Middleweight"" border=""0"" class=""dLink"">IBF World super middleweight title</a><br></td>",http://boxrec.com/show/3566,http://boxrec.com/boxer/476,UD,"Palazzo del Ghiaccio, Marino, Lazio",Thulani Malinga,Lindell Holmes,L 
super lightweight,http://boxrec.com/boxer/8157,1990-12-08,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Welterweight"" border=""0"" class=""dLink"">WBC World super lightweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Light%20Welterweight"" border=""0"" class=""dLink"">IBF World super lightweight title</a><br></td>",http://boxrec.com/show/3542,http://boxrec.com/boxer/8119,TKO,"Convention Center, Atlantic City, New Jersey",Julio Cesar Chavez,Kyung-Duk Ahn,W
light flyweight,http://boxrec.com/boxer/3702,1990-12-08,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Light%20Flyweight"" border=""0"" class=""dLink"">IBF World light flyweight title</a><br></td>",http://boxrec.com/show/3541,http://boxrec.com/boxer/1623,KO,"Rawhide Western Theme Park, Scottsdale, Arizona",Michael Carbajal,Leon Salazar,W
super welterweight,http://boxrec.com/boxer/1584,1990-11-30,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Light%20Middleweight"" border=""0"" class=""dLink"">IBF World super welterweight title</a><br></td>",http://boxrec.com/show/3530,http://boxrec.com/boxer/414,UD,"Palais de Sports, Marsala, Sicilia",Gianfranco Rosi,Rene Jacquot,W
heavyweight,http://boxrec.com/boxer/499,1990-10-25,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Heavyweight"" border=""0"" class=""dLink"">WBC World heavyweight title</a><br><a href=""http://boxrec.com/title/WBA?division=Heavyweight"" border=""0"" class=""dLink"">WBA World heavyweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Heavyweight"" border=""0"" class=""dLink"">IBF World heavyweight title</a><br></td>",http://boxrec.com/show/3458,http://boxrec.com/boxer/584,KO,"Mirage Hotel & Casino, Las Vegas, Nevada",James Douglas,Evander Holyfield,L 
