boxerid,boxername,alias,birth name,birth place,born,bouts,date.of.death,age.of.death,debut,division,global ID,height.imp,height.cm,KOs,manager/agent,promoter,ranking,reach.in,reach.cm,residence,role,rounds,stance,titles held,US ID,VADA CBP,KO.percent,boxerid.num
http://boxrec.com/boxer/479775,Gary Russell Jr,Mr.,NA,"Washington, District of Columbia, USA",1988-06-05,29,NA,NA,2009-01-16,featherweight,479775,5.375,164,59%,NA,NA,"3 / 1,5401 / 158",64,163,"Capitol Heights, Maryland, USA",Boxer,131,southpaw,WBC World Featherweight,077551,enrolled,0.59,479775
http://boxrec.com/boxer/4800,Seung-Koo Lee,NA,NA,NA,1972-01-15,23,NA,NA,1988-10-09,super flyweight,4800,NA,NA,57%,NA,NA,NA,NA,NA,NA,Boxer,140,orthodox,NA,NA,NA,0.57,4800
http://boxrec.com/boxer/480215,Juan Carlos Sanchez Jr,Zurdito,Juan Carlos Sanchez Terrones,"Los Mochis, Sinaloa, Mexico",1991-01-08,27,NA,NA,2008-12-19,super bantamweight,480215,5.708333333333333,174,33%,NA,NA,NA,NA,NA,"Los Mochis, Sinaloa, Mexico",Boxer,182,southpaw,NA,063009,NA,0.33,480215
http://boxrec.com/boxer/4803,Lorenzo Smith,NA,NA,"Chicago, Illinois, USA",1967-12-24,39,NA,NA,1988-09-22,super welterweight,4803,NA,NA,36%,NA,NA,NA,NA,NA,"Chicago, Illinois, USA",Boxer,216,orthodox,NA,020053,NA,0.36,4803
http://boxrec.com/boxer/4807,Juan Domingo Cordoba,Panza,NA,"Santiago Del Estero, Santiago del Estero, Argentina",1972-08-06,43,NA,NA,1992-11-13,light flyweight,4807,NA,NA,44%,NA,NA,NA,NA,NA,"Santiago Del Estero, Santiago del Estero, Argentina",Boxer,294,orthodox,NA,NA,NA,0.44,4807
http://boxrec.com/boxer/481,Cesar Soto,La Cobrita,Cesar Soto Esquivel,"Ciudad Lerdo, Durango, Mexico",1971-09-17,90,NA,NA,1986-03-01,featherweight,481,5.5,168,48%,NA,NA,NA,67.5,171,"Ciudad Juarez, Chihuahua, Mexico",Boxer,583,orthodox,NA,024010,NA,0.48,481
http://boxrec.com/boxer/481446,Gabriel Mendoza,El Cañita,Gabriel Emilio Mendoza Lora,"Tierralta, Colombia",1979-05-27,35,NA,NA,2008-12-27,minimumweight,481446,5.291666666666667,161,66%,NA,NA,33 / 3021 / 1,NA,NA,"Monteria, Colombia",Boxer,178,orthodox,NA,NA,NA,0.66,481446
http://boxrec.com/boxer/48171,Jose de Jesus Lopez,Matador,NA,"Turmero, Venezuela",1973-01-29,42,NA,NA,1996-04-29,super flyweight,48171,5.333333333333333,163,38%,NA,NA,323 / 6904 / 8,NA,NA,"Palma de Mallorca, Islas Baleares, Spain",Boxer,208,orthodox,NA,NA,NA,0.38,48171
http://boxrec.com/boxer/4821,Lonnie Bradley,NA,Lonnie Sterling Bradley,"Charleston, South Carolina, USA",1968-09-16,31,NA,NA,1992-11-19,middleweight,4821,5.916666666666667,180,68%,NA,NA,NA,NA,NA,"New York, New York, USA",Boxer,165,NA,NA,036610,NA,0.68,4821
http://boxrec.com/boxer/4823,Yuji Watanabe,NA,NA,"Tokyo, Japan",1970-05-02,31,NA,NA,1990-05-15,super featherweight,4823,5.625,172,74%,NA,NA,NA,NA,NA,"Tokyo, Japan",Boxer,119,orthodox,NA,NA,NA,0.74,4823
http://boxrec.com/boxer/48243,Nonito Donaire,The Filipino Flash,NA,"Talibon, Bohol, Philippines",1982-11-16,41,NA,NA,2001-02-22,super bantamweight,48243,5.458333333333333,166,59%,NA,NA,"5 / 1,2472 / 73",68,173,"San Leandro, California, USA",Boxer,245,orthodox,NA,059446,NA,0.59,48243
http://boxrec.com/boxer/482498,James DeGale,'Chunky',NA,"Hammersmith, London, United Kingdom",1986-02-03,25,NA,NA,2009-02-28,super middleweight,482498,6,183,56%,NA,NA,"3 / 1,3532 / 78",74,188,"St Albans, Hertfordshire, United Kingdom",Boxer,171,southpaw,IBF World Super Middleweight,052776,NA,0.56,482498
http://boxrec.com/boxer/482499,Billy Joe Saunders,'Superb',NA,"Welwyn Garden City, Hertfordshire, United Kingdom",1989-08-30,24,NA,NA,2009-02-28,middleweight,482499,5.916666666666667,180,50%,NA,NA,"4 / 1,5301 / 100",NA,NA,"Hatfield, Hertfordshire, United Kingdom",Boxer,151,southpaw,NA,NA,NA,0.5,482499
