division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
featherweight,http://boxrec.com/boxer/7452,1998-06-13,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Featherweight"" border=""0"" class=""dLink"">WBA World featherweight title</a><br><span style=""font-size:10px;"">Rios down twice in round 2</span></td>",http://boxrec.com/show/8322,http://boxrec.com/boxer/1943,TKO,"Trump Taj Mahal, Atlantic City, New Jersey",Freddie Norwood,Genaro Rios,W
super welterweight,http://boxrec.com/boxer/7532,1998-05-30,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Light%20Middleweight"" border=""0"" class=""dLink"">WBA World super welterweight title</a><br></td>",http://boxrec.com/show/8299,http://boxrec.com/boxer/1713,SD,"Las Vegas Hilton, Las Vegas, Nevada",Laurent Boudouani,Guillermo Jones,W
flyweight,http://boxrec.com/boxer/3257,1998-05-29,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Flyweight"" border=""0"" class=""dLink"">WBA World flyweight title</a><br></td>",http://boxrec.com/show/8298,http://boxrec.com/boxer/1336,SD,"Las Vegas Hilton, Las Vegas, Nevada",Hugo Rafael Soto,Jose Bonilla,W
lightweight,http://boxrec.com/boxer/8454,1998-05-16,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Lightweight"" border=""0"" class=""dLink"">WBA World lightweight title</a><br></td>",http://boxrec.com/show/8281,http://boxrec.com/boxer/3205,UD,"Palais Omnisport de Paris-Bercy, Paris, Paris",Orzubek Nazarov,Jean-Baptiste Mendy,L 
cruiserweight,http://boxrec.com/boxer/6490,1998-05-02,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Cruiserweight"" border=""0"" class=""dLink"">WBA World cruiserweight title</a><br></td>",http://boxrec.com/show/8263,http://boxrec.com/boxer/1689,TKO,"Astroballe, Villeurbanne, Rhône",Fabrice Tiozzo,Terry Ray,W
super flyweight,http://boxrec.com/boxer/3868,1998-04-29,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Super%20Flyweight"" border=""0"" class=""dLink"">WBA World super flyweight title</a><br></td>",http://boxrec.com/show/8258,http://boxrec.com/boxer/593,MD,"Aichi Prefectural Gym, Nagoya, Aichi",Hiroki Ioka,Satoshi Iida,L 
super featherweight,http://boxrec.com/boxer/5073,1998-04-18,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Super%20Featherweight"" border=""0"" class=""dLink"">WBA World super featherweight title</a><br></td>",http://boxrec.com/show/531439,http://boxrec.com/boxer/3640,KO,"Hilton Hotel, Seoul",Yong Soo Choi,Gilberto Serrano,W
featherweight,http://boxrec.com/boxer/3519,1998-04-03,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Featherweight"" border=""0"" class=""dLink"">vacant WBA World featherweight title</a><br><span style=""font-size:10px;"">Title had been stripped from Wilfredo Vasquez because he chose to fight Naseem Hamed for the WBO Title.</span></td>",http://boxrec.com/show/8218,http://boxrec.com/boxer/1943,UD,"Coliseo Ruben Rodriguez, Bayamon",Freddie Norwood,Antonio Cermeno,W
super middleweight,http://boxrec.com/boxer/13291,1998-04-03,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Super%20Middleweight"" border=""0"" class=""dLink"">WBA World super middleweight title</a><br></td>",http://boxrec.com/show/8218,http://boxrec.com/boxer/1473,UD,"Coliseo Ruben Rodriguez, Bayamon",Frankie Liles,Andrey Shkalikov,W
minimumweight,http://boxrec.com/boxer/521,1998-03-07,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Minimumweight"" border=""0"" class=""dLink"">WBC World minimumweight title</a><br><a href=""http://boxrec.com/title/WBA?division=Minimumweight"" border=""0"" class=""dLink"">WBA World minimumweight title</a><br></td>",http://boxrec.com/show/8180,http://boxrec.com/boxer/4873,TD,"Monumental Plaza de Toros México, Mexico City, Distrito Federal",Rosendo Alvarez,Ricardo Lopez,D
