division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
cruiserweight,http://boxrec.com/boxer/18207,1980-03-31,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Cruiserweight"" border=""0"" class=""dLink"">vacant WBC World cruiserweight title</a><br></td>",http://boxrec.com/show/1915,http://boxrec.com/boxer/854,UD,"Caesars Palace, Las Vegas, Nevada",Marvin Camel,Mate Parlov,W
light heavyweight,http://boxrec.com/boxer/18309,1980-03-29,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Heavyweight"" border=""0"" class=""dLink"">WBC World light heavyweight title</a><br></td>",http://boxrec.com/show/558645,http://boxrec.com/boxer/8618,TKO,"Resorts International, Atlantic City, New Jersey",Matthew Saad Muhammad,John Conteh,W
light flyweight,http://boxrec.com/boxer/52608,1980-03-24,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Flyweight"" border=""0"" class=""dLink"">WBC World light flyweight title</a><br></td>",http://boxrec.com/show/79511,http://boxrec.com/boxer/30654,UD,"Kokugikan, Tokyo",Hilario Zapata,Shigeo Nakajima,W
middleweight,http://boxrec.com/boxer/11417,1980-03-16,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Middleweight"" border=""0"" class=""dLink"">WBC World middleweight title</a><br><a href=""http://boxrec.com/title/WBA?division=Middleweight"" border=""0"" class=""dLink"">WBA World middleweight title</a><br></td>",http://boxrec.com/show/34438,http://boxrec.com/boxer/11467,SD,"Caesars Palace, Las Vegas, Nevada",Alan Minter,Vito Antuofermo,W
lightweight,http://boxrec.com/boxer/22358,1980-03-14,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Lightweight"" border=""0"" class=""dLink"">WBC World lightweight title</a><br><span style=""font-size:10px;"">Watt down in 1st, Nash down three times in 4th round.</span></td>",http://boxrec.com/show/25432,http://boxrec.com/boxer/9526,TKO,"Kelvin Hall, Glasgow, Scotland",Jim Watt,Charlie Nash,W
super lightweight,http://boxrec.com/boxer/12989,1980-02-23,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Welterweight"" border=""0"" class=""dLink"">WBC World super lightweight title</a><br></td>",http://boxrec.com/show/21509,http://boxrec.com/boxer/235,TKO,"Jangchung Gymnasium, Seoul",Saoul Mamby,Sang Hyun Kim,W
flyweight,http://boxrec.com/boxer/873,1980-02-10,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Flyweight"" border=""0"" class=""dLink"">WBC World flyweight title</a><br></td>",http://boxrec.com/show/73775,http://boxrec.com/boxer/10055,UD,Seoul,Chan-Hee Park,Arnel Arrozal,W
bantamweight,http://boxrec.com/boxer/2186,1980-02-09,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Bantamweight"" border=""0"" class=""dLink"">WBC World bantamweight title</a><br></td>",http://boxrec.com/show/1903,http://boxrec.com/boxer/166,TKO,"Olympic Auditorium, Los Angeles, California",Lupe Pintor,Alberto Sandoval,W
heavyweight,http://boxrec.com/boxer/2183,1980-02-03,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Heavyweight"" border=""0"" class=""dLink"">WBC World heavyweight title</a><br></td>",http://boxrec.com/show/1901,http://boxrec.com/boxer/150,KO,"Caesars Palace, Las Vegas, Nevada",Larry Holmes,Lorenzo Zanon,W
super bantamweight,http://boxrec.com/boxer/11147,1980-02-03,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Bantamweight"" border=""0"" class=""dLink"">WBC World super bantamweight title</a><br><span style=""font-size:10px;"">Stopped between rounds on advice of the ringside doctor.</span></td>",http://boxrec.com/show/1901,http://boxrec.com/boxer/2542,RTD,"Caesars Palace, Las Vegas, Nevada",Wilfredo Gomez,Ruben Valdes,W
